,index,resumo,data,autor,jornal,titulo,type,clean_sentence,tok_lem_sentence
109,180," A linear θ method is used in this paper to improve the stability of the standard time‐domain BEM formulation. The time‐stepping procedure is similar to that of the Wilson θ method; however, unlike in the FEM, where linear time variation of acceleration (for elastodynamic problems) is assumed, here linear time variation for both potential and flux (for scalar waves) is assumed in the time interval θΔt. A comparison between numerical results obtained from the standard formulation and from the linear θ method studied here shows the latter to be more stable than the former. The effect of varying θ for different values of time steps is also studied in this paper. Copyright © 1998 John Wiley & Sons, Ltd.",1998/12,"Guoyou Yu, WJ Mansur, JAM Carrer, L Gong",Communications in Numerical Methods in Engineering,A linear θ method applied to 2D time‐domain BEM,artigo, a linear θ method is used in this paper to improve the stability of the standard time domain bem formulation  the time stepping procedure is similar to that of the wilson θ method  however  unlike in the fem  where linear time variation of acceleration  for elastodynamic problems  is assumed  here linear time variation for both potential and flux  for scalar waves  is assumed in the time interval θδt  a comparison between numerical results obtained from the standard formulation and from the linear θ method studied here shows the latter to be more stable than the former  the effect of varying θ for different values of time steps is also studied in this paper  copyright   1998 john wiley   sons  ltd ,"['linear', 'method', 'paper', 'improve', 'stability', 'standard', 'domain', 'formulation', 'stepping', 'procedure', 'similar', 'wilson', 'method', 'however', 'unlike', 'linear', 'variation', 'acceleration', 'elastodynamic', 'problem', 'assumed', 'linear', 'variation', 'potential', 'scalar', 'assumed', 'interval', 'comparison', 'numerical', 'result', 'obtained', 'standard', 'formulation', 'linear', 'method', 'studied', 'latter', 'stable', 'former', 'effect', 'varying', 'different', 'value', 'studied', 'paper', 'copyright', 'wiley']"
110,181,"In the application of the boundary element method for the solution of elastoplastic problems, explicit incremental-iterative techniques have been predominantly used. Such procedures are based on a single matrix recursive relation which involves the stresses, the inelastic strains and the elastic solution. The simplicity of these formulations and their easy computational implementation partially justify the absence of attention that has been given to the search of new solution routines, although the number of iterations per load increment is usually high. Implicit alternative approaches for the solution of general elastoplastic problems are presented here. These solution techniques are more general than the explicit ones, which can be treated as a particular case, and have two important features: reduced number of iterations and increased computer effort for each load increment.In the end of the paper, a discussion about …",1991/1/1,"JCF Telles, JAM Carrer",Mathematical and Computer Modelling,Implicit procedures for the solution of elastoplastic problems by the boundary element method,artigo,in the application of the boundary element method for the solution of elastoplastic problems  explicit incremental iterative techniques have been predominantly used  such procedures are based on a single matrix recursive relation which involves the stresses  the inelastic strains and the elastic solution  the simplicity of these formulations and their easy computational implementation partially justify the absence of attention that has been given to the search of new solution routines  although the number of iterations per load increment is usually high  implicit alternative approaches for the solution of general elastoplastic problems are presented here  these solution techniques are more general than the explicit ones  which can be treated as a particular case  and have two important features  reduced number of iterations and increased computer effort for each load increment in the end of the paper  a discussion about  ,"['application', 'boundary', 'element', 'method', 'solution', 'elastoplastic', 'problem', 'explicit', 'incremental', 'iterative', 'technique', 'predominantly', 'procedure', 'based', 'single', 'matrix', 'recursive', 'relation', 'involves', 'stress', 'inelastic', 'strain', 'elastic', 'solution', 'simplicity', 'formulation', 'computational', 'implementation', 'partially', 'justify', 'absence', 'attention', 'given', 'search', 'solution', 'routine', 'although', 'number', 'iteration', 'increment', 'usually', 'implicit', 'alternative', 'approach', 'solution', 'general', 'elastoplastic', 'problem', 'presented', 'solution', 'technique', 'general', 'explicit', 'treated', 'particular', 'important', 'feature', 'reduced', 'number', 'iteration', 'increased', 'computer', 'effort', 'increment', 'paper', 'discussion']"
111,182,"Transient dynamic elastoplastic analysis is performed with the alternative use of the standard simple elastostatic fundamental solution. The explicit presence of the inertial domain integral (arising from the use of the elastostatic fundamental solution) and the option for its maintenance in the formulation leads to the discretization of the entire domain of the problem in the numerical implementation. The time domain problem is solved by the direct integration method, with the Houbolt integration scheme, whereas the initial stress problem is solved, for each time step, by employing efficient implicit procedures. An illustrative example is presented in the end of the paper to verify the accuracy of the results produced by this formulation.",1992/11/3,"JAM Carrer, JCF Telles",Computers & structures,A boundary element formulation to solve transient dynamic elastoplastic problems,artigo,transient dynamic elastoplastic analysis is performed with the alternative use of the standard simple elastostatic fundamental solution  the explicit presence of the inertial domain integral  arising from the use of the elastostatic fundamental solution  and the option for its maintenance in the formulation leads to the discretization of the entire domain of the problem in the numerical implementation  the time domain problem is solved by the direct integration method  with the houbolt integration scheme  whereas the initial stress problem is solved  for each time step  by employing efficient implicit procedures  an illustrative example is presented in the end of the paper to verify the accuracy of the results produced by this formulation ,"['transient', 'dynamic', 'elastoplastic', 'analysis', 'performed', 'alternative', 'standard', 'simple', 'elastostatic', 'fundamental', 'solution', 'explicit', 'presence', 'inertial', 'domain', 'integral', 'arising', 'elastostatic', 'fundamental', 'solution', 'option', 'maintenance', 'formulation', 'discretization', 'entire', 'domain', 'problem', 'numerical', 'implementation', 'domain', 'problem', 'solved', 'direct', 'integration', 'method', 'houbolt', 'integration', 'scheme', 'whereas', 'initial', 'stress', 'problem', 'solved', 'employing', 'efficient', 'implicit', 'procedure', 'illustrative', 'example', 'presented', 'paper', 'verify', 'accuracy', 'result', 'produced', 'formulation']"
112,183," In the present paper the traditional BEM formulation for time‐domain scalar wave propagation analysis is extended to a new class of problems. A procedure to consider linear time interpolation for boundary tractions is worked out. Time discontinuities are included by adding to the standard BEM equation the integral equation for velocities. Numerical examples are presented in order to assess the accuracy of the proposed formulation. © 1998 John Wiley & Sons, Ltd.",1998/6/30,"WJ Mansur, JAM Carrer, EFN Siqueira",International Journal for Numerical Methods in Engineering,Time discontinuous linear traction approximation in time‐domain BEM scalar wave propagation analysis,artigo, in the present paper the traditional bem formulation for time domain scalar wave propagation analysis is extended to a new class of problems  a procedure to consider linear time interpolation for boundary tractions is worked out  time discontinuities are included by adding to the standard bem equation the integral equation for velocities  numerical examples are presented in order to assess the accuracy of the proposed formulation    1998 john wiley   sons  ltd ,"['present', 'paper', 'traditional', 'formulation', 'domain', 'scalar', 'propagation', 'analysis', 'extended', 'class', 'problem', 'procedure', 'consider', 'linear', 'interpolation', 'boundary', 'traction', 'worked', 'discontinuity', 'included', 'adding', 'standard', 'equation', 'integral', 'equation', 'velocity', 'numerical', 'example', 'presented', 'order', 'accuracy', 'proposed', 'formulation', 'wiley']"
113,184,"This paper is concerned with the application of implicit techniques to solve static and transient dynamic elastoplastic problems. The current formulation keeps the inertial domain integral, which appears due to the use of the static fundamental solution, leading to the discretization of the entire domain. The time-domain problem is solved by a direct integration method (Houbolt scheme). Illustrative examples are presented at the end of the paper.",1994/1/1,"JCF Telles, JAM Carrer",Engineering Analysis with Boundary Elements,Static and transient dynamic nonlinear stress analysis by the boundary element method with implicit techniques,artigo,this paper is concerned with the application of implicit techniques to solve static and transient dynamic elastoplastic problems  the current formulation keeps the inertial domain integral  which appears due to the use of the static fundamental solution  leading to the discretization of the entire domain  the time domain problem is solved by a direct integration method  houbolt scheme   illustrative examples are presented at the end of the paper ,"['paper', 'concerned', 'application', 'implicit', 'technique', 'solve', 'static', 'transient', 'dynamic', 'elastoplastic', 'problem', 'current', 'formulation', 'inertial', 'domain', 'integral', 'appears', 'static', 'fundamental', 'solution', 'leading', 'discretization', 'entire', 'domain', 'domain', 'problem', 'solved', 'direct', 'integration', 'method', 'houbolt', 'scheme', 'illustrative', 'example', 'presented', 'paper']"
114,185,"A linear θ method is used in this paper in order to improve the stability of the time domain BEM/FEM coupling formulation. To make possible the coupling of BEM approaches that employ the standard linear θ method with FEM algorithms that employ the Newmark scheme, the former has to be modified. In the standard linear θ method, the response is initially computed at the time (n+θ)Δt and subsequently the response at the time (n+1)Δt is obtained. In the modified version, integral equations are written at the time (n+θ)Δt and then modified so that unknowns at the time (n+1)Δt are introduced back in the BEM system of equations. Thus it becomes possible to write BEM/FEM coupling compatibility conditions at the time (n+1)Δt. In this way, the θ scheme, which is more stable than the standard BEM formulation, is implicitly considered. The stability improvement achieved by the formulation presented here, when applied …",2001/3/1,"Guoyou Yu, WJ Mansur, JAM Carrer, ST Lie",Computers & Structures,A more stable scheme for BEM/FEM coupling applied to two-dimensional elastodynamics,artigo,a linear θ method is used in this paper in order to improve the stability of the time domain bem fem coupling formulation  to make possible the coupling of bem approaches that employ the standard linear θ method with fem algorithms that employ the newmark scheme  the former has to be modified  in the standard linear θ method  the response is initially computed at the time  n θ δt and subsequently the response at the time  n 1 δt is obtained  in the modified version  integral equations are written at the time  n θ δt and then modified so that unknowns at the time  n 1 δt are introduced back in the bem system of equations  thus it becomes possible to write bem fem coupling compatibility conditions at the time  n 1 δt  in this way  the θ scheme  which is more stable than the standard bem formulation  is implicitly considered  the stability improvement achieved by the formulation presented here  when applied  ,"['linear', 'method', 'paper', 'order', 'improve', 'stability', 'domain', 'coupling', 'formulation', 'possible', 'coupling', 'approach', 'employ', 'standard', 'linear', 'method', 'algorithm', 'employ', 'newmark', 'scheme', 'former', 'modified', 'standard', 'linear', 'method', 'response', 'initially', 'computed', 'subsequently', 'response', 'obtained', 'modified', 'version', 'integral', 'equation', 'written', 'modified', 'unknown', 'introduced', 'system', 'equation', 'becomes', 'possible', 'write', 'coupling', 'compatibility', 'condition', 'scheme', 'stable', 'standard', 'formulation', 'implicitly', 'considered', 'stability', 'improvement', 'achieved', 'formulation', 'presented', 'applied']"
115,186,"The time-weighted time domain boundary element method (TWTDBEM) is presented as an alternative approach to improve the stability of the traditional time domain BEM (TTDBEM) formulation for dynamics. A forward time prediction method is used, which does not cause significant errors as long as the time step is not too large. Numerical experiments carried out show that the time weighting method, presented for the first time here, is stable for applications in which the TTDBEM approach is not, even when only a small number of time weighting discrete points is employed. The use of only two weighting points for each time step leads to a substantial improvement in the stability of the TWTDBEM over the TTDBEM at the expense of a computational cost increase which is not significant. In applications where the time marching process is likely to present instabilities, the time weighting method should be preferred …",1998/10/1,"Guoyou Yu, WJ Mansur, JAM Carrer, L Gong",Engineering analysis with boundary elements,Time weighting in time domain BEM,artigo,the time weighted time domain boundary element method  twtdbem  is presented as an alternative approach to improve the stability of the traditional time domain bem  ttdbem  formulation for dynamics  a forward time prediction method is used  which does not cause significant errors as long as the time step is not too large  numerical experiments carried out show that the time weighting method  presented for the first time here  is stable for applications in which the ttdbem approach is not  even when only a small number of time weighting discrete points is employed  the use of only two weighting points for each time step leads to a substantial improvement in the stability of the twtdbem over the ttdbem at the expense of a computational cost increase which is not significant  in applications where the time marching process is likely to present instabilities  the time weighting method should be preferred  ,"['weighted', 'domain', 'boundary', 'element', 'method', 'twtdbem', 'presented', 'alternative', 'approach', 'improve', 'stability', 'traditional', 'domain', 'ttdbem', 'formulation', 'dynamic', 'forward', 'prediction', 'method', 'cause', 'significant', 'error', 'large', 'numerical', 'experiment', 'carried', 'weighting', 'method', 'presented', 'first', 'stable', 'application', 'ttdbem', 'approach', 'small', 'number', 'weighting', 'discrete', 'point', 'employed', 'weighting', 'point', 'substantial', 'improvement', 'stability', 'twtdbem', 'ttdbem', 'expense', 'computational', 'increase', 'significant', 'application', 'marching', 'process', 'likely', 'present', 'instability', 'weighting', 'method', 'preferred']"
116,187,"This work presents alternative time-marching schemes for performing elastodynamic analysis by the Boundary Element Method. The use of the static fundamental solution and the maintenance of the domain integral associated to the accelerations characterize the formulation employed in this work. It is called D-BEM, D meaning domain. Time response is obtained by employing step-by-step time-marching procedures similar to those adopted in the Finite Element Method. Among all integration procedures, Houbolt scheme became the most popular used to march in time with D-BEM formulation, in spite of the presence of a high numerical damping. In order to improve the integration, this work presents alternative schemes that can be used to perform elastodynamic analysis by the BEM with a better damping control. In order to verify the accuracy of the proposed scheme, three examples are presented and discussed …",2004/10,"Jose Antonio Marques Carrer, Webe João Mansur",Computational Mechanics,Alternative time-marching schemes for elastodynamic analysis with the domain boundary element method formulation,artigo,this work presents alternative time marching schemes for performing elastodynamic analysis by the boundary element method  the use of the static fundamental solution and the maintenance of the domain integral associated to the accelerations characterize the formulation employed in this work  it is called d bem  d meaning domain  time response is obtained by employing step by step time marching procedures similar to those adopted in the finite element method  among all integration procedures  houbolt scheme became the most popular used to march in time with d bem formulation  in spite of the presence of a high numerical damping  in order to improve the integration  this work presents alternative schemes that can be used to perform elastodynamic analysis by the bem with a better damping control  in order to verify the accuracy of the proposed scheme  three examples are presented and discussed  ,"['present', 'alternative', 'marching', 'scheme', 'performing', 'elastodynamic', 'analysis', 'boundary', 'element', 'method', 'static', 'fundamental', 'solution', 'maintenance', 'domain', 'integral', 'associated', 'acceleration', 'characterize', 'formulation', 'employed', 'called', 'meaning', 'domain', 'response', 'obtained', 'employing', 'marching', 'procedure', 'similar', 'adopted', 'finite', 'element', 'method', 'among', 'integration', 'procedure', 'houbolt', 'scheme', 'became', 'popular', 'march', 'formulation', 'spite', 'presence', 'numerical', 'damping', 'order', 'improve', 'integration', 'present', 'alternative', 'scheme', 'perform', 'elastodynamic', 'analysis', 'better', 'damping', 'control', 'order', 'verify', 'accuracy', 'proposed', 'scheme', 'three', 'example', 'presented', 'discussed']"
117,188,"This paper is mainly concerned with the development of integral equations to compute stress and velocity components in transient elastodynamic analysis by the boundary element method. All expressions required are presented explicitly. The boundary is discretized by linear isoparametric elements whereas linear and constant time interpolation are assumed, respectively, for the displacement and traction components. Time integration is carried out analytically and the resulting expressions are presented. An assessment of the accuracy of the results provided by the present formulation can be seen at the end of the article, where two examples are presented.",1999/3/1,"JAM Carrer, WJ Mansur",Engineering Analysis with Boundary Elements,Stress and velocity in 2D transient elastodynamic analysis by the boundary element method,artigo,this paper is mainly concerned with the development of integral equations to compute stress and velocity components in transient elastodynamic analysis by the boundary element method  all expressions required are presented explicitly  the boundary is discretized by linear isoparametric elements whereas linear and constant time interpolation are assumed  respectively  for the displacement and traction components  time integration is carried out analytically and the resulting expressions are presented  an assessment of the accuracy of the results provided by the present formulation can be seen at the end of the article  where two examples are presented ,"['paper', 'mainly', 'concerned', 'development', 'integral', 'equation', 'compute', 'stress', 'velocity', 'component', 'transient', 'elastodynamic', 'analysis', 'boundary', 'element', 'method', 'expression', 'required', 'presented', 'explicitly', 'boundary', 'discretized', 'linear', 'isoparametric', 'element', 'whereas', 'linear', 'constant', 'interpolation', 'assumed', 'respectively', 'displacement', 'traction', 'component', 'integration', 'carried', 'analytically', 'resulting', 'expression', 'presented', 'assessment', 'accuracy', 'result', 'provided', 'present', 'formulation', 'article', 'example', 'presented']"
118,189," The complete expressions corresponding to space and time derivatives of Volterra's integral representation of the time‐dependent scalar wave equation are presented in this paper. The concept of finite part of an integral is used in order to compute boundary kernels contributions. Time integration of boundary kernels is performed analytically for linear and constant time approximations for the potential and its normal derivative, respectively. The new integral representations presented in this text are quite general, as contributions due to the initial conditions have also been included. Two examples are presented in order to assess the accuracy of the formulation.",1996/7/15,"JAM Carrer, WJ Mansur",International Journal for Numerical Methods in Engineering,Time‐domain BEM analysis for the 2D scalar wave equation: initial conditions contributions to space and time derivatives,artigo, the complete expressions corresponding to space and time derivatives of volterra  integral representation of the time dependent scalar wave equation are presented in this paper  the concept of finite part of an integral is used in order to compute boundary kernels contributions  time integration of boundary kernels is performed analytically for linear and constant time approximations for the potential and its normal derivative  respectively  the new integral representations presented in this text are quite general  as contributions due to the initial conditions have also been included  two examples are presented in order to assess the accuracy of the formulation ,"['complete', 'expression', 'corresponding', 'space', 'derivative', 'volterra', 'integral', 'representation', 'dependent', 'scalar', 'equation', 'presented', 'paper', 'concept', 'finite', 'integral', 'order', 'compute', 'boundary', 'kernel', 'contribution', 'integration', 'boundary', 'kernel', 'performed', 'analytically', 'linear', 'constant', 'approximation', 'potential', 'normal', 'derivative', 'respectively', 'integral', 'representation', 'presented', 'quite', 'general', 'contribution', 'initial', 'condition', 'included', 'example', 'presented', 'order', 'accuracy', 'formulation']"
119,190,"The present paper is concerned with the development of a scheme based on iterative coupling of two boundary element formulations to obtain time-domain numerical solution of dynamic non-linear problems. The domain is divided into two sub-domains: the sub-domain that presents non-linear behaviour is modelled by the D-BEM formulation (D: domain) whereas the sub-domain that behaves elastically is modelled by the TD-BEM formulation (TD, time-domain). The solution of the problem is obtained independently in each sub-domain and the variables at common interfaces are computed iteratively. Two examples are presented, in order to verify the potentialities of the proposed methodology.",2005/8/1,"D Soares Jr, Jose Antonio Marques Carrer, Webe Joao Mansur",Engineering Analysis with Boundary Elements,Non-linear elastodynamic analysis by the BEM: an approach based on the iterative coupling of the D-BEM and TD-BEM formulations,artigo,the present paper is concerned with the development of a scheme based on iterative coupling of two boundary element formulations to obtain time domain numerical solution of dynamic non linear problems  the domain is divided into two sub domains  the sub domain that presents non linear behaviour is modelled by the d bem formulation  d  domain  whereas the sub domain that behaves elastically is modelled by the td bem formulation  td  time domain   the solution of the problem is obtained independently in each sub domain and the variables at common interfaces are computed iteratively  two examples are presented  in order to verify the potentialities of the proposed methodology ,"['present', 'paper', 'concerned', 'development', 'scheme', 'based', 'iterative', 'coupling', 'boundary', 'element', 'formulation', 'obtain', 'domain', 'numerical', 'solution', 'dynamic', 'linear', 'problem', 'domain', 'divided', 'domain', 'domain', 'present', 'linear', 'behaviour', 'modelled', 'formulation', 'domain', 'whereas', 'domain', 'behaves', 'elastically', 'modelled', 'formulation', 'domain', 'solution', 'problem', 'obtained', 'independently', 'domain', 'variable', 'common', 'interface', 'computed', 'iteratively', 'example', 'presented', 'order', 'verify', 'potentiality', 'proposed', 'methodology']"
120,191,"This paper presents a new frequency-domain method to analyze physically non-linear structural systems having non-proportional damping. Single- and multi-degree-of-freedom (d.o.f.) systems subjected to time-dependent excitations are considered. A procedure to consider initial conditions, required by the methodology described, is discussed. The algorithm described here employs a time-segmented procedure in modal co-ordinates in the frequency domain; solution in each time-segment being obtained by an iterative process. The proposed methodology is validated by three examples. The procedure presented here can be employed as well to analyze structural systems with viscous and hysteretic damping or else with frequency-dependent damping properties.",2000/10/26,"Webe João Mansur, José Antonio Marques Carrer, Walnório Graça Ferreira, AM Claret De Gouveia, Fernando VENANCIO-FILHO",Journal of sound and vibration,Time-segmented frequency-domain analysis for non-linear multi-degree-of-freedom structural systems,artigo,this paper presents a new frequency domain method to analyze physically non linear structural systems having non proportional damping  single  and multi degree of freedom  d o f   systems subjected to time dependent excitations are considered  a procedure to consider initial conditions  required by the methodology described  is discussed  the algorithm described here employs a time segmented procedure in modal co ordinates in the frequency domain  solution in each time segment being obtained by an iterative process  the proposed methodology is validated by three examples  the procedure presented here can be employed as well to analyze structural systems with viscous and hysteretic damping or else with frequency dependent damping properties ,"['paper', 'present', 'frequency', 'domain', 'method', 'analyze', 'physically', 'linear', 'structural', 'system', 'proportional', 'damping', 'single', 'multi', 'degree', 'freedom', 'system', 'subjected', 'dependent', 'excitation', 'considered', 'procedure', 'consider', 'initial', 'condition', 'required', 'methodology', 'described', 'discussed', 'algorithm', 'described', 'employ', 'segmented', 'procedure', 'modal', 'ordinate', 'frequency', 'domain', 'solution', 'segment', 'obtained', 'iterative', 'process', 'proposed', 'methodology', 'validated', 'three', 'example', 'procedure', 'presented', 'employed', 'analyze', 'structural', 'system', 'viscous', 'hysteretic', 'damping', 'frequency', 'dependent', 'damping', 'property']"
121,192,"A Boundary Element Method formulation is developed for the dynamic analysis of Timoshenko beams. Based on the use of not time dependent fundamental solutions a formulation of the type called as Domain Boundary Element Method arises. Beside the typical domain integrals containing the second order time derivatives of the transverse displacement and of the rotation of the cross-section due to bending, additional domain integrals appear: one due to the loading and the other two due to the coupled differential equations that govern the problem. The time-marching employs the Houbolt method. The four usual kinds of beams that are pinned–pinned, fixed–fixed, fixed–pinned and fixed–free, under uniformly distributed, concentrated, harmonic concentrated and impulsive loading, are analyzed. The results are compared with the available analytical solutions and with those furnished by the Finite Difference Method.",2013/12/1,"JAM Carrer, SA Fleischfresser, LFT Garcia, WJ Mansur",Engineering Analysis with Boundary Elements,Dynamic analysis of Timoshenko beams by the boundary element method,artigo,a boundary element method formulation is developed for the dynamic analysis of timoshenko beams  based on the use of not time dependent fundamental solutions a formulation of the type called as domain boundary element method arises  beside the typical domain integrals containing the second order time derivatives of the transverse displacement and of the rotation of the cross section due to bending  additional domain integrals appear  one due to the loading and the other two due to the coupled differential equations that govern the problem  the time marching employs the houbolt method  the four usual kinds of beams that are pinned pinned  fixed fixed  fixed pinned and fixed free  under uniformly distributed  concentrated  harmonic concentrated and impulsive loading  are analyzed  the results are compared with the available analytical solutions and with those furnished by the finite difference method ,"['boundary', 'element', 'method', 'formulation', 'developed', 'dynamic', 'analysis', 'timoshenko', 'based', 'dependent', 'fundamental', 'solution', 'formulation', 'called', 'domain', 'boundary', 'element', 'method', 'arises', 'beside', 'typical', 'domain', 'integral', 'containing', 'second', 'order', 'derivative', 'transverse', 'displacement', 'rotation', 'cross', 'section', 'bending', 'additional', 'domain', 'integral', 'appear', 'loading', 'coupled', 'differential', 'equation', 'govern', 'problem', 'marching', 'employ', 'houbolt', 'method', 'usual', 'pinned', 'pinned', 'fixed', 'fixed', 'fixed', 'pinned', 'fixed', 'uniformly', 'distributed', 'concentrated', 'harmonic', 'concentrated', 'impulsive', 'loading', 'analyzed', 'result', 'compared', 'available', 'analytical', 'solution', 'furnished', 'finite', 'difference', 'method']"
122,193,"This work presents a time-truncation scheme, based on the Lagrange interpolation polynomial, for the solution of two-dimensional elastodynamics by the time-domain boundary element method. The reduction in the number of assembled matrices, maintaining a compromise between accuracy and computational economy and efficiency, is the main purpose of the present work. In order to verify the accuracy of the proposed formulation, two examples are presented and discussed.",2012/7/1,"JAM Carrer, WLA Pereira, WJ Mansur",Engineering analysis with boundary elements,Two-dimensional elastodynamics by the time-domain boundary element method: Lagrange interpolation strategy in time integration,artigo,this work presents a time truncation scheme  based on the lagrange interpolation polynomial  for the solution of two dimensional elastodynamics by the time domain boundary element method  the reduction in the number of assembled matrices  maintaining a compromise between accuracy and computational economy and efficiency  is the main purpose of the present work  in order to verify the accuracy of the proposed formulation  two examples are presented and discussed ,"['present', 'truncation', 'scheme', 'based', 'lagrange', 'interpolation', 'polynomial', 'solution', 'dimensional', 'elastodynamics', 'domain', 'boundary', 'element', 'method', 'reduction', 'number', 'assembled', 'matrix', 'maintaining', 'compromise', 'accuracy', 'computational', 'economy', 'efficiency', 'purpose', 'present', 'order', 'verify', 'accuracy', 'proposed', 'formulation', 'example', 'presented', 'discussed']"
123,194," This work presents a two‐dimensional boundary element method (BEM) formulation for the analysis of scalar wave propagation problems. The formulation is based on the so‐called convolution quadrature method (CQM) by means of which the convolution integral, presented in time‐domain BEM formulations, is numerically substituted by a quadrature formula, whose weights are computed using the Laplace transform of the fundamental solution and a linear multistep method. This BEM formulation was initially developed for scalar wave propagation problems with null initial conditions. In order to overcome this limitation, this work presents a general procedure that enables one to take into account non‐homogeneous initial conditions, after replacing the initial conditions by equivalent pseudo‐forces. The numerical results included in this work show the accuracy of the proposed BEM formulation and its applicability …",2006/7/16,"AI Abreu, WJ Mansur, JAM Carrer",International journal for numerical methods in engineering,Initial conditions contribution in a BEM formulation based on the convolution quadrature method,artigo, this work presents a two dimensional boundary element method  bem  formulation for the analysis of scalar wave propagation problems  the formulation is based on the so called convolution quadrature method  cqm  by means of which the convolution integral  presented in time domain bem formulations  is numerically substituted by a quadrature formula  whose weights are computed using the laplace transform of the fundamental solution and a linear multistep method  this bem formulation was initially developed for scalar wave propagation problems with null initial conditions  in order to overcome this limitation  this work presents a general procedure that enables one to take into account non homogeneous initial conditions  after replacing the initial conditions by equivalent pseudo forces  the numerical results included in this work show the accuracy of the proposed bem formulation and its applicability  ,"['present', 'dimensional', 'boundary', 'element', 'method', 'formulation', 'analysis', 'scalar', 'propagation', 'problem', 'formulation', 'based', 'called', 'convolution', 'quadrature', 'method', 'convolution', 'integral', 'presented', 'domain', 'formulation', 'numerically', 'substituted', 'quadrature', 'formula', 'whose', 'weight', 'computed', 'using', 'laplace', 'transform', 'fundamental', 'solution', 'linear', 'multistep', 'method', 'formulation', 'initially', 'developed', 'scalar', 'propagation', 'problem', 'initial', 'condition', 'order', 'overcome', 'limitation', 'present', 'general', 'procedure', 'enables', 'account', 'homogeneous', 'initial', 'condition', 'replacing', 'initial', 'condition', 'equivalent', 'pseudo', 'force', 'numerical', 'result', 'included', 'accuracy', 'proposed', 'formulation', 'applicability']"
124,195,"This work presents a direct integration scheme, based on a fourth order finite difference approach, for elastodynamics. The proposed scheme was chosen as an alternative for attenuating the errors due to the use of the central difference method, mainly when the time-step length approaches the critical time-step. In addition to eliminating the spurious numerical oscillations, the fourth order finite difference scheme keeps the advantages of the central difference method: reduced computer storage and no requirement of factorisation of the effective stiffness matrix in the step-by-step solution. A study concerning the stability of the fourth order finite difference scheme is presented. The Finite Element Method and the Boundary Element Method are employed to solve elastodynamic problems. In order to verify the accuracy of the proposed scheme, two examples are presented and discussed at the end of this work.",2004,"LA Souza, JAM Carrer, CJ Martins",Structural engineering and mechanics: An international journal,A fourth order finite difference method applied to elastodynamics: finite element and boundary element formulations,artigo,this work presents a direct integration scheme  based on a fourth order finite difference approach  for elastodynamics  the proposed scheme was chosen as an alternative for attenuating the errors due to the use of the central difference method  mainly when the time step length approaches the critical time step  in addition to eliminating the spurious numerical oscillations  the fourth order finite difference scheme keeps the advantages of the central difference method  reduced computer storage and no requirement of factorisation of the effective stiffness matrix in the step by step solution  a study concerning the stability of the fourth order finite difference scheme is presented  the finite element method and the boundary element method are employed to solve elastodynamic problems  in order to verify the accuracy of the proposed scheme  two examples are presented and discussed at the end of this work ,"['present', 'direct', 'integration', 'scheme', 'based', 'fourth', 'order', 'finite', 'difference', 'approach', 'elastodynamics', 'proposed', 'scheme', 'chosen', 'alternative', 'attenuating', 'error', 'central', 'difference', 'method', 'mainly', 'length', 'approach', 'critical', 'addition', 'eliminating', 'spurious', 'numerical', 'oscillation', 'fourth', 'order', 'finite', 'difference', 'scheme', 'advantage', 'central', 'difference', 'method', 'reduced', 'computer', 'storage', 'requirement', 'factorisation', 'effective', 'stiffness', 'matrix', 'solution', 'study', 'concerning', 'stability', 'fourth', 'order', 'finite', 'difference', 'scheme', 'presented', 'finite', 'element', 'method', 'boundary', 'element', 'method', 'employed', 'solve', 'elastodynamic', 'problem', 'order', 'verify', 'accuracy', 'proposed', 'scheme', 'example', 'presented', 'discussed']"
125,196,This paper carries out a discussion concerning kernels in two-dimensional BEM analysis of transient scalar wave propagation problems. Kernels obtained after performing analytical time integration are compared. An example of quadratic time variation is presented in order to illustrate some of the mathematical concepts discussed.,1993/1/1,"WJ Mansur, JAM Carrer",Engineering Analysis with Boundary Elements,Two dimensional transient BEM analysis for the scalar wave equation: Kernels,artigo,this paper carries out a discussion concerning kernels in two dimensional bem analysis of transient scalar wave propagation problems  kernels obtained after performing analytical time integration are compared  an example of quadratic time variation is presented in order to illustrate some of the mathematical concepts discussed ,"['paper', 'carry', 'discussion', 'concerning', 'kernel', 'dimensional', 'analysis', 'transient', 'scalar', 'propagation', 'problem', 'kernel', 'obtained', 'performing', 'analytical', 'integration', 'compared', 'example', 'quadratic', 'variation', 'presented', 'order', 'illustrate', 'mathematical', 'concept', 'discussed']"
